subject,predicate,object
http://example.org/tic-absa/comment/572bd597ec4a89942000014b,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/572c175bec4a8916fc0000ee,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/572d27bdec4a8916fc0000f3,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/572dd4b6ec4a891e170000f4,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572dd5d5ec4a891a7500013e,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572df4dbec4a899420000176,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572df5eeec4a899420000177,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572e2cc2ec4a891a7500013f,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/572e70e7ec4a8916fc000105,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/572e97caec4a8916fc000109,absa:hasAspect,http://example.org/tic-absa/aspect/evaluacion
http://example.org/tic-absa/comment/572eab5aec4a899420000187,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/572f81dbec4a89942000018c,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/572f81dbec4a89942000018c,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/572fb885ec4a899420000190,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/572fd3baec4a899420000193,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5730d8eaec4a891a75000181,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/5730f78eec4a8994200001c4,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/5730fdcdec4a891e17000123,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/57312e7aec4a8916fc000152,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/57313159ec4a8916fc000153,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/57313fdcec4a891a75000196,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/57314dd2ec4a891a750001a1,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/57315b0cec4a8916fc000173,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/57315bf3ec4a891a750001b4,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/57316200ec4a8916fc00017c,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/57317cb3ec4a891e1700014f,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/57317cb3ec4a891e1700014f,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5731cadcec4a899420000208,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5731d410ec4a891a750001c5,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5731d6dcec4a8916fc00018c,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5731e5a7ec4a891e17000153,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/573212dcec4a899420000210,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5732194cec4a8916fc000193,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5732339fec4a899420000212,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/57323527ec4a899420000213,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573235faec4a891a750001d0,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/57323630ec4a899420000214,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/57327febec4a89942000021c,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5732913aec4a8916fc000199,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573338bdec4a891a750001e5,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5733827eec4a899420000234,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/57338487ec4a891e1700016a,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/57339ed1ec4a899420000235,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/5733bb90ec4a891a750001eb,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5733bc50ec4a891e17000170,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5733bdffec4a8916fc0001a4,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5733e633ec4a891a750001ef,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5733f41fec4a891a750001f4,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5733f4d7ec4a891a750001f5,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/57344a0cec4a899420000239,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/57347ec9ec4a89942000023a,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5734e51fec4a891a750001fa,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/5735027eec4a89942000023e,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5736acbaec4a891a75000208,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/57371bbbec4a891a7500020a,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/57378450ec4a891e17000185,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5737d224ec4a899420000267,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/57386696ec4a891a7500021b,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5738e340ec4a899420000278,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5738e340ec4a899420000278,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5738f1ddec4a89942000027c,absa:hasAspect,http://example.org/tic-absa/aspect/plataforma
http://example.org/tic-absa/comment/57392e82ec4a8916fc0001d0,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/5739326dec4a899420000287,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/57399e20ec4a891a7500022e,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/57399e20ec4a891a7500022e,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/57399fe4ec4a89942000028f,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5739cf34ec4a899420000291,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/5739cf34ec4a899420000291,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5739d060ec4a899420000292,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5739d189ec4a899420000294,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/5739d3c4ec4a8916fc0001d6,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573a3815ec4a891a75000232,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573a3894ec4a891a75000233,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573a3928ec4a891a75000234,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573a39b0ec4a891a75000235,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573a3ec0ec4a8994200002ad,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573a40d8ec4a8916fc0001e4,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573a44e9ec4a891a75000238,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573a50f7ec4a891a7500023a,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573a51baec4a8994200002b2,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573a7feaec4a891a75000246,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573a8b21ec4a8916fc0001ee,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573a8ba0ec4a891e170001bb,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573b1a64ec4a8994200002d3,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573b2020ec4a891a75000254,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573b4faeec4a891a7500025b,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573b5555ec4a891a7500025c,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573b5555ec4a891a7500025c,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573b8555ec4a891a7500025f,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573b8704ec4a891e170001cd,absa:hasAspect,http://example.org/tic-absa/aspect/interaccion
http://example.org/tic-absa/comment/573b8972ec4a8916fc000206,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573b8b0cec4a8916fc000207,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573bc8abec4a8994200002ee,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573bdee5ec4a891e170001da,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573bdee5ec4a891e170001da,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573beb65ec4a8994200002f8,absa:hasAspect,http://example.org/tic-absa/aspect/docente
http://example.org/tic-absa/comment/573c6a25ec4a891e170001dd,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
http://example.org/tic-absa/comment/573c6b31ec4a8916fc000212,absa:hasAspect,http://example.org/tic-absa/aspect/contenido
