from,prop,to
http://example.org/tic-absa/comment/5e945dfcec4a89789c000904,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945e3dec4a89789c00090f,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945f24ec4a89789c00092b,skos:broader,http://example.org/tic-absa/thread/5e9446cdec4a89aaf300061c
http://example.org/tic-absa/comment/5e945f64ec4a89aaf3000992,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e945f84ec4a89e82d000947,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e945f84ec4a89e82d000947,skos:related,http://example.org/tic-absa/comment/5e9452baec4a89789c0007a1
http://example.org/tic-absa/comment/5e94616fec4a89805900096e,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946230ec4a89e82d0009b3,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946243ec4a89aaf30009ff,skos:broader,http://example.org/tic-absa/thread/5e91459dec4a89b1de000021
http://example.org/tic-absa/comment/5e94625aec4a89789c00099c,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946276ec4a89e82d0009bd,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e946278ec4a89e82d0009be,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946278ec4a89e82d0009be,skos:related,http://example.org/tic-absa/comment/5e93faf5ec4a89e82d00006d
http://example.org/tic-absa/comment/5e9462b0ec4a89aaf3000a18,skos:broader,http://example.org/tic-absa/thread/5e91459dec4a89b1de000021
http://example.org/tic-absa/comment/5e9462e1ec4a89789c0009ba,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9463feec4a8980590009d7,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9463feec4a8980590009d7,skos:related,http://example.org/tic-absa/comment/5e943b80ec4a898059000378
http://example.org/tic-absa/comment/5e94648bec4a89aaf3000a57,skos:broader,http://example.org/tic-absa/thread/5e945a2dec4a89805900084b
http://example.org/tic-absa/comment/5e9464a9ec4a89e82d000a22,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94654cec4a89e82d000a3f,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94656bec4a89e82d000a45,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94659cec4a89aaf3000a7f,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e946653ec4a89e82d000a6f,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946656ec4a89789c000a63,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946699ec4a898059000a48,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9466beec4a89e82d000a80,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9466ceec4a89789c000a77,skos:broader,http://example.org/tic-absa/thread/5e94533eec4a89e82d0007a4
http://example.org/tic-absa/comment/5e9466cfec4a89e82d000a83,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946703ec4a89789c000a81,skos:broader,http://example.org/tic-absa/thread/5e91459dec4a89b1de000021
http://example.org/tic-absa/comment/5e946703ec4a89789c000a81,skos:related,http://example.org/tic-absa/comment/5e946243ec4a89aaf30009ff
http://example.org/tic-absa/comment/5e9467e4ec4a89e82d000aa6,skos:broader,http://example.org/tic-absa/thread/5e945a2dec4a89805900084b
http://example.org/tic-absa/comment/5e9467f2ec4a89789c000ab2,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e94682fec4a89e82d000ab7,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e9468c0ec4a89aaf3000b13,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e94694bec4a898059000abe,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946986ec4a89789c000aff,skos:broader,http://example.org/tic-absa/thread/5e94533eec4a89e82d0007a4
http://example.org/tic-absa/comment/5e946990ec4a89789c000b02,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946a36ec4a89e82d000b0e,skos:broader,http://example.org/tic-absa/thread/5e9446cdec4a89aaf300061c
http://example.org/tic-absa/comment/5e946a3fec4a898059000af1,skos:broader,http://example.org/tic-absa/thread/5e94533eec4a89e82d0007a4
http://example.org/tic-absa/comment/5e946ac6ec4a89789c000b2f,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946ad2ec4a898059000b16,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946b8eec4a89789c000b50,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946bedec4a89789c000b68,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946c04ec4a89789c000b6d,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e946c61ec4a89aaf3000bd2,skos:broader,http://example.org/tic-absa/thread/5e9446cdec4a89aaf300061c
http://example.org/tic-absa/comment/5e946c62ec4a89789c000b81,skos:broader,http://example.org/tic-absa/thread/5e946a90ec4a89789c000b25
http://example.org/tic-absa/comment/5e946cddec4a89789c000b99,skos:broader,http://example.org/tic-absa/thread/5e945a2dec4a89805900084b
http://example.org/tic-absa/comment/5e946cfcec4a898059000b92,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946d4cec4a898059000b9c,skos:broader,http://example.org/tic-absa/thread/5e94533eec4a89e82d0007a4
http://example.org/tic-absa/comment/5e946dcaec4a89aaf3000c13,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946ddcec4a89e82d000bc8,skos:broader,http://example.org/tic-absa/thread/5e914603ec4a89e7c600001a
http://example.org/tic-absa/comment/5e946e44ec4a898059000bd0,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946e4fec4a898059000bd2,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946ea5ec4a89aaf3000c38,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946eddec4a89789c000bfa,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946f61ec4a89e82d000c0d,skos:broader,http://example.org/tic-absa/thread/5e9144d3ec4a89e7c6000017
http://example.org/tic-absa/comment/5e946f8bec4a89aaf3000c57,skos:broader,http://example.org/tic-absa/thread/5e946a90ec4a89789c000b25
http://example.org/tic-absa/comment/5e946ff6ec4a89aaf3000c68,skos:broader,http://example.org/tic-absa/thread/5e945a2dec4a89805900084b
http://example.org/tic-absa/comment/5e946ff6ec4a89aaf3000c68,skos:related,http://example.org/tic-absa/comment/5e9467e4ec4a89e82d000aa6
